Model,δ=0.0,δ=0.2,δ=0.4,δ=0.6,δ=0.8,δ=1.0,δ=0.0 (%),δ=0.2 (%),δ=0.4 (%),δ=0.6 (%),δ=0.8 (%),δ=1.0 (%),Baseline,Degradation_δ1.0
Amplitude Encoding,1935.0972075560976,1859.7047091333957,1844.124660903914,1878.0268869083052,1852.7677303862633,1862.2007502495337,0.0,-3.8960574243150172,-4.701187428567273,-2.9492224176101485,-4.25453960908822,-3.7670695312835156,1935.0972075560976,-72.89645730656389
Quantum Kernel,1848.8939500361794,1846.6838254888532,1843.308863603541,1850.0213146536678,1841.5062717184633,1843.9829168278109,0.0,-0.11953765911143165,-0.3020771652440625,0.06097508283081084,-0.39957285368214573,-0.26562005940213107,1848.8939500361794,-4.911033208368508
Random Forest,1964.655536691623,2113.9277857402935,2291.4797377440027,2394.7764137932413,2330.24488647435,2723.3297071349525,0.0,7.597884018897136,16.635191001611133,21.892940979665035,18.608317995446697,38.616141927907485,1964.655536691623,758.6741704433296
Gradient Boosting,2179.7228409321137,2698.1415826548487,2858.144530260947,3126.830857038969,3054.697155125048,3241.1839230963865,0.0,23.783700018532805,31.124218023917205,43.45084605810911,40.141539913339145,48.69706653669604,2179.7228409321137,1061.4610821642727
ANN,1906.2941998999072,2819.826011728203,4959.415405386178,7397.521522619054,10036.799661582932,12357.892981700876,0.0,47.921869136267745,160.16002176613554,288.05770499681904,426.50842992177866,548.2678792365704,1906.2941998999072,10451.598781800969
Linear Regression,1936.67893168316,246190.25425851552,523585.73667456064,717912.0538537509,948722.8892131578,1237110.4540390805,0.0,12611.980815764467,26935.23687426673,36969.23445642156,48887.10228590273,63777.93215491391,1936.67893168316,1235173.7751073975
