Model,Mean RMSE (bp),Std RMSE (bp),Min RMSE (bp),Max RMSE (bp)
Linear Regression,181.00993725534366,98.81788472053577,44.74695554848388,890.1977872351873
LSTM,179.3441383261088,96.94835991413781,50.38295655262453,899.1103485886906
QNN,179.52383678910454,91.35244838425265,45.21581622907168,776.0110809796313
